"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 35","2022-08-09 19:09:09","2022-08-09","해외지국","20220809V24120","베이징_외교부 대변인 정례브리핑 0809_수신본","","","왕원빈","00:31:02:19","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-23","","화요일","0","없음","2022-08-09 18:35:44","","","","2022-08-09 18:35:44","","","대기","대기","2022-08-09 19:08:02","2022-08-09 19:09:11","2022-08-09 19:09:12","2022-08-09 19:09:12","","","","","","","대기","대기","","","","","None","","","","15785289","15785290","mamex\mamex","29.97","2022-08-09 18:35:44","","아니오","아니오","","","","대기",
" 36","2022-08-09 18:02:48","2022-08-09","해외지국","20220809V24011","베이징_19시_21시_김민성_타이완 굴복 않겠다 맞대응 사격 훈련_수신본","","","","00:00:34:18","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-23","","화요일","0","없음","2022-08-09 17:59:48","","","","2022-08-09 17:59:48","","","대기","대기","2022-08-09 18:02:16","2022-08-09 18:02:51","2022-08-09 18:02:51","2022-08-09 18:02:51","","","","","","","대기","대기","","","","","None","","","","15785069","15785070","mamex\mamex","29.97","2022-08-09 17:59:48","","아니오","아니오","","","","대기",
" 37","2022-08-08 19:04:48","2022-08-08","해외지국","20220808V21399","베이징_외교부 대변인 정례브리핑 0808_수신본","","","왕원빈","00:54:51:11","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-22","","월요일","0","없음","2022-08-08 18:07:31","","","","2022-08-08 18:07:31","","","대기","대기","2022-08-08 19:03:16","2022-08-08 19:04:50","2022-08-08 19:04:51","2022-08-08 19:04:51","","","","","","","대기","대기","","","","","None","","","","15779446","15779447","mamex\mamex","29.97","2022-08-08 18:07:31","","아니오","아니오","","","","대기",
" 38","2022-08-06 20:02:26","2022-08-06","해외지국","20220806V18949","베이징_21시_김민성_오디오 편집본 및 온마이크_수신본","","","오디오 편집","00:02:17:17","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-20","","토요일","0","없음","2022-08-06 19:57:48","","","","2022-08-06 19:57:48","","","대기","대기","2022-08-06 20:01:58","2022-08-06 20:02:29","2022-08-06 20:02:29","2022-08-06 20:02:29","","","","","","","대기","대기","","","","","None","","","","15774131","15774132","mamex\mamex","29.97","2022-08-06 19:57:48","","아니오","아니오","","","","대기",
" 39","2022-08-05 22:53:41","2022-08-05","해외지국","20220805V17674","베이징_외교부 대변인 정례브리핑 0805_수신본","","","화춘잉","00:46:02:22","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-19","","금요일","0","없음","2022-08-05 19:31:33","","","","2022-08-05 19:31:33","","","대기","대기","2022-08-05 20:18:25","2022-08-05 22:53:45","2022-08-05 20:20:03","2022-08-05 20:20:03","","","","","","","대기","대기","","","","","None","","","","15771435","15771436","mamex\mamex","29.97","2022-08-05 19:31:33","","아니오","아니오","","","","대기",
" 40","2022-08-04 20:54:54","2022-08-04","해외지국","20220804V15521","베이징_외교부 대변인 정례브리핑 0804_수신본","","","화춘잉","00:57:13:03","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 19:55:19","","","","2022-08-04 19:55:19","","","대기","대기","2022-08-04 20:53:24","2022-08-04 20:54:57","2022-08-04 20:54:58","2022-08-04 20:54:58","","","","","","","대기","대기","","","","","None","","","","15766810","15766811","mamex\mamex","29.97","2022-08-04 19:55:19","","아니오","아니오","","","","대기",
" 41","2022-08-04 18:56:18","2022-08-04","해외지국","20220804V15344","베이징_이랑_디지털영상용 밑그림 03_수신본","","","","00:02:21:21","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 18:51:36","","","","2022-08-04 18:51:36","","","대기","대기","2022-08-04 18:55:47","2022-08-04 18:56:20","2022-08-04 18:56:22","2022-08-04 18:56:22","","","","","","","대기","대기","","","","","None","","","","15766415","15766416","mamex\mamex","29.97","2022-08-04 18:51:36","","아니오","아니오","","","","대기",
" 42","2022-08-04 17:43:53","2022-08-04","해외지국","20220804V15145","베이징_이랑_디지털영상용 밑그림 02_수신본","","","","00:01:40:27","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 17:39:51","","","","2022-08-04 17:39:51","","","대기","대기","2022-08-04 17:43:22","2022-08-04 17:43:56","2022-08-04 17:43:57","2022-08-04 17:43:57","","","","","","","대기","대기","","","","","None","","","","15766006","15766007","mamex\mamex","29.97","2022-08-04 17:39:51","","아니오","아니오","","","","대기",
" 43","2022-08-04 15:32:54","2022-08-04","해외지국","20220804V14852","베이징_이랑_디지털영상용 밑그림 01_수신본","","","","00:01:59:06","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 15:28:33","","","","2022-08-04 15:28:33","","","대기","대기","2022-08-04 15:32:25","2022-08-04 15:32:56","2022-08-04 15:32:57","2022-08-04 15:32:57","","","","","","","대기","대기","","","","","None","","","","15765350","15765351","mamex\mamex","29.97","2022-08-04 15:28:33","","아니오","아니오","","","","대기",
" 44","2022-08-04 11:47:43","2022-08-04","해외지국","20220804V14346","베이징_외교부 대변인 정례브리핑 0803_수신본","","","","00:48:26:19","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 10:56:54","","","","2022-08-04 10:56:54","","","대기","대기","2022-08-04 11:46:09","2022-08-04 11:47:45","2022-08-04 11:47:45","2022-08-04 11:47:45","","","","","","","대기","대기","","","","","None","","","","15764113","15764114","mamex\mamex","29.97","2022-08-04 10:56:54","","아니오","아니오","","","","대기",
" 45","2022-08-03 11:06:35","2022-08-03","해외지국","20220803V12033","베이징_외교부 대변인 정례브리핑 0802_수신본","","","화춘잉","00:42:12:01","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 10:22:25","","","","2022-08-03 10:22:25","","","대기","대기","2022-08-03 11:05:46","2022-08-03 11:06:37","2022-08-03 11:06:37","2022-08-03 11:06:37","","","","","","","대기","대기","","","","","None","","","","15759148","15759149","mamex\mamex","29.97","2022-08-03 10:22:25","","아니오","아니오","","","","대기",
" 46","2022-08-02 18:52:35","2022-08-02","해외지국","20220802V10885","베이징_21시_조성원_중국 외교부 대변인 녹취_수신본","","","화춘잉","00:00:37:03","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 18:49:38","","","","2022-08-02 18:49:38","","","대기","대기","2022-08-02 18:52:08","2022-08-02 18:52:38","2022-08-02 18:52:38","2022-08-02 18:52:38","","","","","","","대기","대기","","","","","None","","","","15756690","15756691","mamex\mamex","29.97","2022-08-02 18:49:38","","아니오","아니오","","","","대기",
" 47","2022-08-02 18:28:00","2022-08-02","해외지국","20220802V10821","베이징_21시_조성원_9시 화상 해변 장갑차_수신본","조성원","","","00:00:44:06","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 18:25:18","","","","2022-08-02 18:25:18","","","대기","대기","2022-08-02 18:27:46","2022-08-02 18:28:03","2022-08-02 18:28:03","2022-08-02 18:28:03","","","","","2022-08-03 09:19:09","2022-08-03 09:19:15","대기","대기","","","","","None","","","","15756561","15756562","mamex\mamex","29.97","2022-08-02 18:25:18","","예","아니오","","","","대기",
" 48","2022-08-02 18:14:10","2022-08-02","해외지국","20220802V10775","베이징_21시_조성원_낸시 펠로시 트위터 스케치_수신본","조성원","이창준","-낸시 펠로시 미국하원의장 천안문 관련 트위터 화면 스케치","00:02:46:01","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 18:09:03","","","","2022-08-02 18:09:03","","","대기","대기","2022-08-02 18:13:45","2022-08-02 18:14:13","2022-08-02 18:14:14","2022-08-02 18:14:14","","","","","","","대기","대기","","","","","None","","","","15756466","15756467","mamex\mamex","29.97","2022-08-02 18:09:03","","아니오","아니오","","","","대기",
" 49","2022-08-02 17:00:06","2022-08-02","해외지국","20220802V10566","베이징_21시_조성원_중국 군사훈련_수신본","","","","00:05:00:01","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 16:52:40","","","","2022-08-02 16:52:40","","","대기","대기","2022-08-02 16:58:26","2022-08-02 17:00:08","2022-08-02 17:00:12","2022-08-02 17:00:12","","","","","2022-08-03 09:19:24","2022-08-03 09:19:33","대기","대기","","","","","None","","","","15756041","15756042","mamex\mamex","29.97","2022-08-02 16:52:40","","예","아니오","","","","대기",
" 50","2022-08-01 19:09:04","2022-08-01","해외지국","20220801V08641","베이징_외교부 대변인 정례브리핑 0801_수신본","","","자오리젠","00:38:11:26","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-15","","월요일","0","없음","2022-08-01 18:28:52","","","","2022-08-01 18:28:52","","","대기","대기","2022-08-01 19:07:53","2022-08-01 19:09:06","2022-08-01 19:09:07","2022-08-01 19:09:07","","","","","","","대기","대기","","","","","None","","","","15751926","15751927","mamex\mamex","29.97","2022-08-01 18:28:52","","아니오","아니오","","","","대기",
" 51","2022-08-01 16:05:10","2022-08-01","해외지국","20220801V08330","베이징_조성원_정재호 주중국대한민국대사 취임식_수신본","조성원","이창준","-주중국한국대사관 -정재호 대사 입장 스케치 -국민의례 묵념 스케치 -정재호 대사 취임사 스케치 및 녹취","00:09:01:20","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-15","","월요일","0","없음","2022-08-01 15:53:41","","","","2022-08-01 15:53:41","","","대기","대기","2022-08-01 16:03:55","2022-08-01 16:05:12","2022-08-01 16:05:13","2022-08-01 16:05:13","","","","","2022-08-02 09:33:27","2022-08-02 09:33:45","대기","대기","","","","","None","","","","15751225","15751226","mamex\mamex","29.97","2022-08-01 15:53:41","","예","아니오","","","","대기",
" 52","2022-07-29 19:29:22","2022-07-29","해외지국","20220729V05010","베이징_외교부 대변인 정례브리핑 0729_수신본","","","자오리젠","00:28:54:14","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-12","","금요일","0","없음","2022-07-29 18:58:06","","","","2022-07-29 18:58:06","","","대기","대기","2022-07-29 19:28:13","2022-07-29 19:29:25","2022-07-29 19:29:25","2022-07-29 19:29:25","","","","","","","대기","대기","","","","","None","","","","15744207","15744208","mamex\mamex","29.97","2022-07-29 18:58:06","","아니오","아니오","","","","대기",
" 53","2022-07-29 18:00:27","2022-07-29","해외지국","20220729V04859","베이징_21시_조성원_화상용_중국 외교부 대변인 녹취_수신본","","","자오리젠","00:00:32:10","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-12","","금요일","0","없음","2022-07-29 17:57:35","","","","2022-07-29 17:57:35","","","대기","대기","2022-07-29 17:59:58","2022-07-29 18:00:30","2022-07-29 18:00:30","2022-07-29 18:00:30","","","","","","","대기","대기","","","","","None","","","","15743885","15743886","mamex\mamex","29.97","2022-07-29 17:57:35","","아니오","아니오","","","","대기",
" 54","2022-07-29 16:19:23","2022-07-29","해외지국","20220729V04655","베이징_21시_조성원_화상용 인민일보 그림_수신본","","","","00:01:04:06","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-12","","금요일","0","없음","2022-07-29 16:16:01","","","","2022-07-29 16:16:01","","","대기","대기","2022-07-29 16:18:49","2022-07-29 16:19:25","2022-07-29 16:19:25","2022-07-29 16:19:25","","","","","","","대기","대기","","","","","None","","","","15743436","15743437","mamex\mamex","29.97","2022-07-29 16:16:01","","아니오","아니오","","","","대기",
" 55","2022-07-28 18:22:08","2022-07-28","해외지국","20220728V02656","베이징_외교부 대변인 정례브리핑 0728_수신본","","","자오리젠","00:36:41:20","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-11","","목요일","0","없음","2022-07-28 17:42:57","","","","2022-07-28 17:42:57","","","대기","대기","2022-07-28 18:20:31","2022-07-28 18:22:11","2022-07-28 18:22:11","2022-07-28 18:22:11","","","","","","","대기","대기","","","","","None","","","","15739036","15739037","mamex\mamex","29.97","2022-07-28 17:42:57","","아니오","아니오","","","","대기",
" 56","2022-07-27 20:07:09","2022-07-27","해외지국","20220727V00757","베이징_외교부 대변인 정례브리핑 0727_수신본","","","자오리젠","00:16:59:03","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 19:47:50","","","","2022-07-27 19:47:50","","","대기","대기","2022-07-27 20:05:38","2022-07-27 20:07:12","2022-07-27 20:07:13","2022-07-27 20:07:13","","","","","","","대기","대기","","","","","None","","","","15734831","15734832","mamex\mamex","29.97","2022-07-27 19:47:50","","아니오","아니오","","","","대기",
" 57","2022-07-27 15:51:50","2022-07-27","해외지국","20220727V00145","베이징_김민성_산동성 격리시설 스케치 및 전화 인터뷰 녹취_수신본","","","","00:04:44:06","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 15:44:46","","","","2022-07-27 15:44:46","","","대기","대기","2022-07-27 15:50:39","2022-07-27 15:51:53","2022-07-27 15:51:53","2022-07-27 15:51:53","","","","","","","대기","대기","","","","","None","","","","15733533","15733534","mamex\mamex","29.97","2022-07-27 15:44:46","","아니오","아니오","","","","대기",
" 58","2022-07-27 07:13:45","2022-07-27","해외지국","20220727V99483","워싱턴_김양순_정전69년 추모의 벽 찾은 625참전용사 유족 01_수신본","김양순","오범석","-김양순 취재기자 온마이크 -추모의 벽 스케치 -스티브 프롤릭 인터뷰 -추모의벽 스케치 -행사 스케치 -추모의벽 유족 관람 스케치 -한신희 카투사 전사자 가족 스케치 -유족 헌화 스케치 -타미 쉬리브 인터뷰 -루버다 베어 인터뷰 -김양순 취재기자 온마이크","00:29:57:07","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 06:41:26","","","","2022-07-27 06:41:26","","","대기","대기","2022-07-27 07:12:34","2022-07-27 07:13:46","2022-07-27 07:13:53","2022-07-27 07:13:53","","","","","","","대기","대기","","","","","None","","","","15732029","15732030","mamex\mamex","29.97","2022-07-27 06:41:26","","아니오","아니오","","","","대기",
" 59","2022-07-27 06:33:50","2022-07-27","해외지국","20220727V99469","워싱턴_광장_김기현_온마이크 01-02_스케치_수신본","","","","00:08:06:26","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 06:23:44","","","","2022-07-27 06:23:44","","","대기","대기","2022-07-27 06:32:38","2022-07-27 06:33:51","2022-07-27 06:33:51","2022-07-27 06:33:51","","","","","","","대기","대기","","","","","None","","","","15732001","15732002","mamex\mamex","29.97","2022-07-27 06:23:44","","아니오","아니오","","","","대기",
" 60","2022-07-26 18:46:53","2022-07-26","해외지국","20220726V98462","베이징_외교부 대변인 정례브리핑 0726_수신본","","","자오리젠","00:29:16:09","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-09","","화요일","0","없음","2022-07-26 18:15:39","","","","2022-07-26 18:15:39","","","대기","대기","2022-07-26 18:45:44","2022-07-26 18:46:56","2022-07-26 18:46:56","2022-07-26 18:46:56","","","","","","","대기","대기","","","","","None","","","","15729897","15729898","mamex\mamex","29.97","2022-07-26 18:15:39","","아니오","아니오","","","","대기",
" 61","2022-07-25 12:42:04","2022-07-25","해외지국","20220725V95825","베이징_조성원_디지털용 우주정거장 녹취 02_수신본","","","","00:01:26:25","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-08","","월요일","0","없음","2022-07-25 12:38:16","","","","2022-07-25 12:38:16","","","대기","대기","2022-07-25 12:41:36","2022-07-25 12:42:05","2022-07-25 12:42:06","2022-07-25 12:42:06","","","","","","","대기","대기","","","","","None","","","","15724143","15724144","mamex\mamex","29.97","2022-07-25 12:38:16","","아니오","아니오","","","","대기",
" 62","2022-07-22 17:28:51","2022-07-22","해외지국","20220722V92539","베이징_외교부 대변인 정례브리핑 0722_수신본","","","왕원빈","00:14:56:23","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-05","","금요일","0","없음","2022-07-22 17:11:33","","","","2022-07-22 17:11:33","","","대기","대기","2022-07-22 17:27:53","2022-07-22 17:28:54","2022-07-22 17:28:54","2022-07-22 17:28:54","","","","","","","대기","대기","","","","","None","","","","15717174","15717175","mamex\mamex","29.97","2022-07-22 17:11:33","","아니오","아니오","","","","대기",
" 63","2022-07-21 18:33:52","2022-07-21","해외지국","20220721V90328","베이징_외교부 대변인 정례브리핑 0721_수신본","","","왕원빈","00:15:22:26","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-04","","목요일","0","없음","2022-07-21 18:16:08","","","","2022-07-21 18:16:08","","","대기","대기","2022-07-21 18:32:43","2022-07-21 18:33:54","2022-07-21 18:33:55","2022-07-21 18:33:55","","","","","","","대기","대기","","","","","None","","","","15712403","15712404","mamex\mamex","29.97","2022-07-21 18:16:08","","아니오","아니오","","","","대기",
" 64","2022-07-21 18:08:20","2022-07-21","해외지국","20220721V90298","베이징_19시_김민성_오디오 및 온마이크_수신본","","","오디오 편집","00:02:09:12","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-04","","목요일","0","없음","2022-07-21 18:03:45","","","","2022-07-21 18:03:45","","","대기","대기","2022-07-21 18:07:51","2022-07-21 18:08:23","2022-07-21 18:08:23","2022-07-21 18:08:23","","","","","","","대기","대기","","","","","None","","","","15712340","15712341","mamex\mamex","29.97","2022-07-21 18:03:45","","아니오","아니오","","","","대기",
" 65","2022-07-21 06:58:36","2022-07-21","해외지국","20220721V89279","뉴욕_한보경_미드타운 펜트하우스 스케치_수신본","","","","00:10:06:13","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-04","","목요일","0","없음","2022-07-21 06:46:09","","","","2022-07-21 06:46:09","","","대기","대기","2022-07-21 06:57:04","2022-07-21 06:58:37","2022-07-21 06:58:38","2022-07-21 06:58:38","","","","","","","대기","대기","","","","","None","","","","15710027","15710028","mamex\mamex","29.97","2022-07-21 06:46:09","","아니오","아니오","","","","대기",
" 66","2022-07-20 18:22:31","2022-07-20","해외지국","20220720V88152","베이징_외교부 대변인 정례브리핑 0720_수신본","","","왕원빈","00:16:31:21","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-03","","수요일","0","없음","2022-07-20 18:04:01","","","","2022-07-20 18:04:01","","","대기","대기","2022-07-20 18:21:22","2022-07-20 18:22:34","2022-07-20 18:22:34","2022-07-20 18:22:34","","","","","","","대기","대기","","","","","None","","","","15707596","15707597","mamex\mamex","29.97","2022-07-20 18:04:01","","아니오","아니오","","","","대기",
" 67","2022-07-19 19:17:30","2022-07-19","해외지국","20220719V86171","베이징_외교부 대변인 정례브리핑 0719_수신본","","","자오리젠","00:29:05:13","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 18:45:57","","","","2022-07-19 18:45:57","","","대기","대기","2022-07-19 19:16:16","2022-07-19 19:17:33","2022-07-19 19:17:33","2022-07-19 19:17:33","","","","","","","대기","대기","","","","","None","","","","15703312","15703313","mamex\mamex","29.97","2022-07-19 18:45:57","","아니오","아니오","","","","대기",
" 68","2022-07-19 18:46:18","2022-07-19","해외지국","20220719V86166","베이징_19시_조성원_오디오 수정_수신본","","","오디오 편집","00:00:32:02","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 18:43:49","","","","2022-07-19 18:43:49","","","대기","대기","2022-07-19 18:46:10","2022-07-19 18:46:20","2022-07-19 18:46:21","2022-07-19 18:46:21","","","","","","","대기","대기","","","","","None","","","","15703304","15703305","mamex\mamex","29.97","2022-07-19 18:43:49","","아니오","아니오","","","","대기",
" 69","2022-07-19 18:40:33","2022-07-19","해외지국","20220719V86136","베이징_19시_조성원_오디오 및 온마이크_수신본","","","","00:00:49:10","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 18:37:22","","","","2022-07-19 18:37:22","","","대기","대기","2022-07-19 18:40:04","2022-07-19 18:40:36","2022-07-19 18:40:36","2022-07-19 18:40:36","","","","","","","대기","대기","","","","","None","","","","15703244","15703245","mamex\mamex","29.97","2022-07-19 18:37:22","","아니오","아니오","","","","대기",
" 70","2022-07-19 18:15:04","2022-07-19","해외지국","20220719V86061","베이징_19시_조성원_오디오편집본_수신본","","","오디오 편집","00:01:33:06","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 18:11:11","","","","2022-07-19 18:11:11","","","대기","대기","2022-07-19 18:14:31","2022-07-19 18:15:07","2022-07-19 18:15:07","2022-07-19 18:15:07","","","","","","","대기","대기","","","","","None","","","","15703062","15703063","mamex\mamex","29.97","2022-07-19 18:11:11","","아니오","아니오","","","","대기",
" 71","2022-07-19 18:11:22","2022-07-19","해외지국","20220719V86046","베이징_19시_김민성_오디오 및 온마이크_수신본","","","오디오 편집","00:01:53:29","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 18:07:08","","","","2022-07-19 18:07:08","","","대기","대기","2022-07-19 18:10:47","2022-07-19 18:11:24","2022-07-19 18:11:25","2022-07-19 18:11:25","","","","","","","대기","대기","","","","","None","","","","15703031","15703032","mamex\mamex","29.97","2022-07-19 18:07:08","","아니오","아니오","","","","대기",
" 72","2022-07-19 10:11:50","2022-07-19","해외지국","20220719V85036","파리_유원중_프랑스 보르도 산불현장_수신본","","","","00:06:12:06","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 10:02:23","","","","2022-07-19 10:02:23","","","대기","대기","2022-07-19 10:09:22","2022-07-19 10:11:52","2022-07-19 10:11:03","2022-07-19 10:11:03","","","","","","","대기","대기","","","","","None","","","","15700834","15700835","mamex\mamex","29.97","2022-07-19 10:02:23","","아니오","아니오","","","","대기",
" 73","2022-07-19 05:21:50","2022-07-19","해외지국","20220719V84776","워싱턴_김양순_데이비드 월콕스 피터슨 연구소 경제분석가 인터뷰_수신본","김양순","오범석","","00:36:41:23","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-02","","화요일","0","없음","2022-07-19 04:42:47","","","","2022-07-19 04:42:47","","","대기","대기","2022-07-19 05:20:16","2022-07-19 05:21:51","2022-07-19 05:21:51","2022-07-19 05:21:51","","","","","","","대기","대기","","","","","None","","","","15700273","15700274","mamex\mamex","29.97","2022-07-19 04:42:47","","아니오","아니오","","","","대기",
