"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 11","2022-08-18 17:56:42","2022-08-18","해외지국","20220818V39874","베이징_19시_조성원_오디오 편집본 및 온마이크_수신본","","","오디오 편집","00:02:13:08","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-01","","목요일","0","없음","2022-08-18 15:45:54","","","","2022-08-18 15:45:54","","","대기","대기","2022-08-18 15:49:58","2022-08-18 17:56:45","2022-08-18 17:56:45","2022-08-18 17:56:45","","","","","","","대기","대기","","","","","None","","","","15819526","15819527","","29.97","2022-08-18 15:45:54","","아니오","아니오","","","","대기",
" 12","2022-08-18 15:46:26","2022-08-18","해외지국","20220818V39432","베이징_21시_조성원_중국 가뭄_수신본","","","","00:03:05:23","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-09-01","","목요일","0","없음","2022-08-18 11:44:18","","","","2022-08-18 11:44:18","","","대기","대기","2022-08-18 11:48:37","2022-08-18 15:46:28","2022-08-18 15:46:28","2022-08-18 15:46:28","","","","","","","대기","대기","","","","","None","","","","15818537","15818538","","29.97","2022-08-18 11:44:18","","아니오","아니오","","","","대기",
" 13","2022-08-17 18:23:41","2022-08-17","해외지국","20220817V38089","베이징_외교부 대변인 정례브리핑 0817_수신본","","","왕원빈","00:28:51:02","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","작성완료","아니오","아니오","HD","알수없음","","","2022-08-24","","국제","0","없음","2022-08-17 17:52:22","","","","2022-08-17 17:52:22","","","대기","대기","2022-08-17 18:22:03","2022-08-17 18:23:44","2022-08-17 18:23:44","2022-08-17 18:23:44","","","","","","","대기","대기","","","","","None","","","","15815621","15815622","mamex\mamex","29.97","2022-08-17 17:52:22","","아니오","아니오","","","","성공",
" 14","2022-08-16 18:50:09","2022-08-16","해외지국","20220816V36118","베이징_외교부 대변인 정례브리핑 0816_수신본","","","왕원빈","00:18:28:14","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 18:29:20","2022-08-17 00:19:23","2022-08-17 00:20:29","","2022-08-16 18:29:20","","","대기","대기","2022-08-16 18:48:33","2022-08-16 18:50:12","2022-08-16 18:50:12","2022-08-16 18:50:12","","","","","","","성공","대기","","","","","None","","","","15811237","15811238","mamex\mamex","29.97","2022-08-16 18:29:20","","아니오","아니오","","","","대기",
" 15","2022-08-16 17:37:49","2022-08-16","해외지국","20220816V35962","베이징_김민성_중 크리스마스 용품 전진기지 봉쇄 연장 관련 녹취_수신본","","","전화 녹취","00:00:40:23","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 17:34:50","2022-08-17 00:19:23","2022-08-17 00:19:27","","2022-08-16 17:34:50","","","대기","대기","2022-08-16 17:37:19","2022-08-16 17:37:52","2022-08-16 17:37:52","2022-08-16 17:37:52","","","","","","","성공","대기","","","","","None","","","","15810886","15810887","mamex\mamex","29.97","2022-08-16 17:34:50","","아니오","아니오","","","","대기",
" 16","2022-08-16 13:58:22","2022-08-16","해외지국","20220816V35394","베이징_이창준_정재호 주중국한국대사 부임 첫 기자 간담회 모두발언 녹취 및 스케치_수신본","","YTN","","00:16:53:25","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","이태희","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 13:39:07","2022-08-17 00:19:28","2022-08-17 00:20:27","","2022-08-16 13:39:07","","","대기","대기","2022-08-16 13:57:14","2022-08-16 13:58:24","2022-08-16 13:58:26","2022-08-16 13:58:26","","","","","2022-08-17 09:50:04","2022-08-17 09:50:36","성공","대기","","","","","None","","","","15809662","15809663","mamex\mamex","29.97","2022-08-16 13:39:07","","예","아니오","","","","대기",
" 17","2022-08-16 13:15:34","2022-08-16","해외지국","20220816V35366","베이징_조성원_디지털_상하이 탈출_수신본","","","","00:06:24:14","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 13:06:43","2022-08-17 00:20:29","2022-08-17 00:20:49","","2022-08-16 13:06:43","","","대기","대기","2022-08-16 13:13:55","2022-08-16 13:15:36","2022-08-16 13:15:36","2022-08-16 13:15:36","","","","","","","성공","대기","","","","","None","","","","15809606","15809607","mamex\mamex","29.97","2022-08-16 13:06:43","","아니오","아니오","","","","대기",
" 18","2022-08-16 05:54:28","2022-08-16","해외지국","20220816V34861","뉴욕_한보경_김종성 건축가 인터뷰 CAM B_수신본","","","","01:01:00:20","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 04:51:03","2022-08-17 00:20:30","2022-08-17 00:23:12","","2022-08-16 04:51:03","","","대기","대기","2022-08-16 05:53:16","2022-08-16 05:54:29","2022-08-16 05:54:29","2022-08-16 05:54:29","","","","","","","성공","대기","","","","","None","","","","15808555","15808556","mamex\mamex","29.97","2022-08-16 04:51:03","","아니오","아니오","","","","대기",
" 19","2022-08-15 19:22:41","2022-08-15","해외지국","20220815V34328","베이징_외교부 대변인 정례브리핑 0815_수신본","","","왕원빈","00:16:01:04","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-29","","월요일","0","없음","2022-08-15 19:04:41","","","","2022-08-15 19:04:41","","","대기","대기","2022-08-15 19:21:57","2022-08-15 19:22:44","2022-08-15 19:22:44","2022-08-15 19:22:44","","","","","","","대기","대기","","","","","None","","","","15807439","15807440","mamex\mamex","29.97","2022-08-15 19:04:41","","아니오","아니오","","","","대기",
" 20","2022-08-15 15:44:16","2022-08-15","해외지국","20220815V34109","베이징_19시_김민성_크리스마스 용품 차질 빚나_수신본","","","","00:02:37:12","","LIVE 인제스트","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-29","","월요일","0","없음","2022-08-15 15:39:17","","","","2022-08-15 15:39:17","","","대기","대기","2022-08-15 15:43:48","2022-08-15 15:44:18","2022-08-15 15:44:18","2022-08-15 15:44:18","","","","","","","대기","대기","","","","","None","","","","15806968","15806969","mamex\mamex","29.97","2022-08-15 15:39:17","","아니오","아니오","","","","대기",
