"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 11","2022-08-17 15:44:24","2022-08-17","해외지국","20220817V37733","방콕_특파원보고_김원장_태국 주차장 아기호랑이 밀매 스케치 및 자료영상_웹하드_원본영상","","","","00:12:15;18","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-31","","수요일","0","없음","2022-08-17 15:35:15","","","","2022-08-17 15:35:15","","","대기","대기","2022-08-17 15:44:01","2022-08-17 15:44:26","2022-08-17 15:44:28","2022-08-17 15:44:28","","","","","","","대기","대기","","","","","None","","","","15814875","15814876","mamex\mamex","29.97","2022-08-17 15:35:15","","아니오","아니오","","","","대기",
" 12","2022-08-16 23:41:17","2022-08-16","해외지국","20220816V36587","뉴욕_한보경_김종성 건축가 인터뷰 CAM A_웹하드_원본영상","","","","01:00:25;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 23:15:23","2022-08-17 09:15:44","2022-08-17 09:17:24","","2022-08-16 23:15:23","","","대기","대기","2022-08-16 23:40:39","2022-08-16 23:41:20","2022-08-16 23:41:21","2022-08-16 23:41:21","","","","","","","성공","대기","","","","","None","","","","15812373","15812374","mamex\mamex","29.97","2022-08-16 23:15:23","","아니오","아니오","","","","대기",
" 13","2022-08-16 05:31:32","2022-08-16","해외지국","20220816V34864","뉴욕_한보경_김종성 건축가 ZOOM 인터뷰 스케치_웹하드_원본영상","","","","01:09:20;10","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 04:53:57","2022-08-16 13:54:36","2022-08-16 13:56:19","","2022-08-16 04:53:57","","","대기","대기","2022-08-16 05:30:37","2022-08-16 05:31:32","2022-08-16 05:31:34","2022-08-16 05:31:34","","","","","","","성공","대기","","","","","None","","","","15808561","15808562","mamex\mamex","29.97","2022-08-16 04:53:57","","아니오","아니오","","","","대기",
" 14","2022-08-16 04:56:23","2022-08-16","해외지국","20220816V34863","뉴욕_한보경_김종성 건축가 인터뷰 스케치_웹하드_원본영상","","","","00:03:09;06","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-30","","화요일","0","없음","2022-08-16 04:53:45","2022-08-16 13:54:38","2022-08-16 13:54:44","","2022-08-16 04:53:45","","","대기","대기","2022-08-16 04:56:03","2022-08-16 04:56:23","2022-08-16 04:56:24","2022-08-16 04:56:24","","","","","","","성공","대기","","","","","None","","","","15808559","15808560","mamex\mamex","29.97","2022-08-16 04:53:45","","아니오","아니오","","","","대기",
" 15","2022-08-15 18:04:53","2022-08-15","해외지국","20220815V34251","도쿄_21시_지종익_가해 책임 반성 외면_웹하드_원본영상","지종익","","","00:01:10;27","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","양의정","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-29","","월요일","0","없음","2022-08-15 18:03:39","","","","2022-08-15 18:03:39","","","대기","대기","2022-08-15 18:04:41","2022-08-15 18:04:55","2022-08-15 18:04:56","2022-08-15 18:04:56","","","","","","","대기","대기","","","","","None","","","","15807274","15807275","mamex\mamex","29.97","2022-08-15 18:03:39","","아니오","아니오","","","","대기",
" 16","2022-08-12 19:21:24","2022-08-12","해외지국","20220812V31319","두바이_우수경_아프간 유엔세계식량계획(WFP) 화상 인터뷰_리액션_웹하드_원본영상","우수경","","","00:01:50;05","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 19:19:49","","","","2022-08-12 19:19:49","","","대기","대기","2022-08-12 19:21:11","2022-08-12 19:21:26","2022-08-12 19:21:27","2022-08-12 19:21:27","","","","","","","대기","대기","","","","","None","","","","15801129","15801130","mamex\mamex","29.97","2022-08-12 19:19:49","","아니오","아니오","","","","대기",
" 17","2022-08-12 17:52:24","2022-08-12","해외지국","20220812V30977","두바이_우수경_아프간 유엔세계식량계획(WFP) 화상 인터뷰_웹하드_원본영상_복구","우수경","","-줌(ZOOM) 녹화본","00:20:31;07","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 17:39:57","","","","2022-08-12 17:39:57","","","대기","대기","2022-08-12 17:52:03","2022-08-12 17:52:27","2022-08-12 17:52:40","2022-08-12 17:52:40","","","","","","","대기","대기","","","","","None","","","","15800416","15800417","mamex\mamex","29.97","2022-08-12 17:39:57","","아니오","아니오","","","","대기",
" 18","2022-08-12 06:59:55","2022-08-12","해외지국","20220812V29897","두바이_우수경_아프간WFP_웹하드_원본영상","","","","00:11:54;16","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 06:50:31","","","","2022-08-12 06:50:31","","","대기","대기","2022-08-12 06:59:39","2022-08-12 06:59:56","2022-08-12 06:59:59","2022-08-12 06:59:59","","","","","","","대기","대기","","","","","None","","","","15797950","15797951","mamex\mamex","29.97","2022-08-12 06:50:31","","아니오","아니오","","","","대기",
" 19","2022-08-12 06:42:15","2022-08-12","해외지국","20220812V29881","두바이_우수경_카타르월드컵2_웹하드_원본영상","","","","00:14:16;22","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 06:29:56","","","","2022-08-12 06:29:56","","","대기","대기","2022-08-12 06:41:56","2022-08-12 06:42:15","2022-08-12 06:42:18","2022-08-12 06:42:18","","","","","","","대기","대기","","","","","None","","","","15797922","15797923","mamex\mamex","29.97","2022-08-12 06:29:56","","아니오","아니오","","","","대기",
" 20","2022-08-12 06:35:33","2022-08-12","해외지국","20220812V29879","두바이_우수경_카타르월드컵_알수마마 경기장_웹하드_원본영상","","","","00:08:28;06","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 06:28:50","","","","2022-08-12 06:28:50","","","대기","대기","2022-08-12 06:35:09","2022-08-12 06:35:33","2022-08-12 06:35:36","2022-08-12 06:35:36","","","","","","","대기","대기","","","","","None","","","","15797914","15797915","mamex\mamex","29.97","2022-08-12 06:28:50","","아니오","아니오","","","","대기",
" 21","2022-08-12 06:36:07","2022-08-12","해외지국","20220812V29877","두바이_우수경_카타르월드컵_경기장 자료화면_웹하드_원본영상","","","","00:08:11;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-26","","금요일","0","없음","2022-08-12 06:28:20","","","","2022-08-12 06:28:20","","","대기","대기","2022-08-12 06:35:49","2022-08-12 06:36:08","2022-08-12 06:36:10","2022-08-12 06:36:10","","","","","","","대기","대기","","","","","None","","","","15797912","15797913","mamex\mamex","29.97","2022-08-12 06:28:20","","아니오","아니오","","","","대기",
" 22","2022-08-11 06:41:05","2022-08-11","해외지국","20220811V27421","두바이_우수경_카타르월드컵 인터뷰 02_웹하드_원본영상","","","","00:01:36;04","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-25","","목요일","0","없음","2022-08-11 06:39:25","","","","2022-08-11 06:39:25","","","대기","대기","2022-08-11 06:40:52","2022-08-11 06:41:05","2022-08-11 06:41:06","2022-08-11 06:41:06","","","","","","","대기","대기","","","","","None","","","","15792519","15792520","mamex\mamex","29.97","2022-08-11 06:39:25","","아니오","아니오","","","","대기",
