"번호","인제스트 완료시각","촬영/수신일","분류","미디어ID","제목","취재기자","촬영기자","내용","영상길이","메모","등록위치","엠바고","엠바고사유","ING","TRC","CAT","영상구분","리스토어요청자","영상편집","자료정리상태","방송일","외신기사 번역문","외신채널","라이브러리","라이브러리등록요청","KDAS전송","프리뷰노트","속보","사용제한","화질","언어","외신기사ID","소제목","보존만료일","키워드","폴더","바코드ID","사용제한사유","사용제한해제일","인제스트전송(HR) 시작시각","인제스트전송(HR) 종료시각","인제스트전송(LR) 시작시각","수신일시","인제스트전송(LR) 종료시각","라이브러리등록요청자","부조 메인","부조 백업","트랜스코딩시작시각","트랜스코딩종료시각","카탈로깅시작시각","카탈로깅종료시각","부조메인 전송시작시각","부조메인 전송종료시각","부조백업 전송시작시각","부조백업 전송종료시각","KDAS전송시작시간","KDAS전송종료시간","인제스트전송(HR)","인제스트전송(LR)","사용제한설정시각","사용제한설정자","엠바고설정시각","엠바고해제시각","국가명","프로그램명","촬영장소","엠바고설정자","원본영상ID","비디오ID","타이틀이미지파일아이디","비디오FPS","디스크백업시각","외신기사 원문","KDAS등록","자료여부","사용제한사유","사용제한설정시각","사용제한설정자","STT상태",
" 36","2022-08-08 18:29:33","2022-08-08","해외지국","20220808V21451","선양_오세균_훈춘세관_웹하드_원본영상","","","","00:00:26;06","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-22","","월요일","0","없음","2022-08-08 18:28:36","","","","2022-08-08 18:28:36","","","대기","대기","2022-08-08 18:29:10","2022-08-08 18:29:36","2022-08-08 18:29:36","2022-08-08 18:29:36","","","","","","","대기","대기","","","","","None","","","","15779567","15779568","mamex\mamex","29.97","2022-08-08 18:28:36","","아니오","아니오","","","","대기",
" 37","2022-08-08 18:29:21","2022-08-08","해외지국","20220808V21450","선양_오세균_00243_웹하드_원본영상","","","","00:00:25;00","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-22","","월요일","0","없음","2022-08-08 18:28:22","","","","2022-08-08 18:28:22","","","대기","대기","2022-08-08 18:28:55","2022-08-08 18:29:24","2022-08-08 18:29:24","2022-08-08 18:29:24","","","","","","","대기","대기","","","","","None","","","","15779563","15779564","mamex\mamex","29.97","2022-08-08 18:28:22","","아니오","아니오","","","","대기",
" 38","2022-08-08 17:58:04","2022-08-08","해외지국","20220808V21376","도쿄_19시_박원기_윤덕민 주일대사 현금화 동결 통한 외교 공관 만들어야 녹취 및 스케치_웹하드_원본영상","","","","00:02:02;24","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-22","","월요일","0","없음","2022-08-08 17:56:18","","","","2022-08-08 17:56:18","","","대기","대기","2022-08-08 17:57:51","2022-08-08 17:58:07","2022-08-08 17:58:08","2022-08-08 17:58:08","","","","","","","대기","대기","","","","","None","","","","15779399","15779400","mamex\mamex","29.97","2022-08-08 17:56:18","","아니오","아니오","","","","대기",
" 39","2022-08-07 20:36:40","2022-08-07","해외지국","20220807V19892","선양_오세균_북중화물열차_웹하드_원본영상","","","","00:01:52;28","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-21","","일요일","0","없음","2022-08-07 20:35:03","","","","2022-08-07 20:35:03","","","대기","대기","2022-08-07 20:36:27","2022-08-07 20:36:43","2022-08-07 20:36:46","2022-08-07 20:36:46","","","","","2022-08-08 08:07:52","2022-08-08 08:07:58","대기","대기","","","","","None","","","","15776128","15776129","mamex\mamex","29.97","2022-08-07 20:35:03","","예","아니오","","","","대기",
" 40","2022-08-07 11:13:36","2022-08-07","해외지국","20220807V19448","선양_오세균_북한 남양역 스케치_웹하드_원본영상","","","","00:30:27;20","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-21","","일요일","0","없음","2022-08-07 10:51:31","","","","2022-08-07 10:51:31","","","대기","대기","2022-08-07 11:13:12","2022-08-07 11:13:38","2022-08-07 11:13:45","2022-08-07 11:13:45","","","","","2022-08-08 08:08:28","2022-08-08 08:09:14","대기","대기","","","","","None","","","","15775170","15775171","mamex\mamex","29.97","2022-08-07 10:51:31","","예","아니오","","","","대기",
" 41","2022-08-07 10:51:04","2022-08-07","해외지국","20220807V19449","선양_오세균_시민 인터뷰_웹하드_원본영상","","","","00:02:45:20","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-21","","일요일","0","없음","2022-08-07 10:50:59","","","","2022-08-07 10:50:59","","","대기","대기","2022-08-07 10:52:55","2022-08-07 10:53:50","2022-08-07 10:54:10","2022-08-07 10:54:10","","","","","","","대기","대기","","","","","None","","","","15775168","15775169","mamex\mamex","29.97","2022-08-07 10:50:59","","아니오","아니오","","","","대기",
" 42","2022-08-06 06:41:08","2022-08-06","해외지국","20220806V18531","뉴욕_한보경_맨해튼 차이나타운 8월 스케치_웹하드_원본영상","","","","00:05:31;13","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","양의정","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-20","","토요일","0","없음","2022-08-06 06:37:08","","","","2022-08-06 06:37:08","","","대기","대기","2022-08-06 06:40:57","2022-08-06 06:41:09","2022-08-06 06:41:12","2022-08-06 06:41:12","","","","","2022-08-08 08:09:14","2022-08-08 08:09:27","대기","대기","","","","","None","","","","15773255","15773256","mamex\mamex","29.97","2022-08-06 06:37:08","","예","아니오","","","","대기",
" 43","2022-08-05 18:49:15","2022-08-05","해외지국","20220805V17588","도쿄_19시_박원기_온아미크_웹하드_원본영상","","","","00:00:21;05","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-19","","금요일","0","없음","2022-08-05 18:48:38","","","","2022-08-05 18:48:38","","","대기","대기","2022-08-05 18:49:06","2022-08-05 18:49:18","2022-08-05 18:49:18","2022-08-05 18:49:18","","","","","","","대기","대기","","","","","None","","","","15771255","15771256","mamex\mamex","29.97","2022-08-05 18:48:38","","아니오","아니오","","","","대기",
" 44","2022-08-05 18:16:22","2022-08-05","해외지국","20220805V17513","도쿄_19시_박원기_일본 정치인 망언 녹취 및 스케치_웹하드_원본영상","","","","00:02:14;21","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-19","","금요일","0","없음","2022-08-05 18:14:25","","","","2022-08-05 18:14:25","","","대기","대기","2022-08-05 18:16:19","2022-08-05 18:16:25","2022-08-05 18:16:25","2022-08-05 18:16:25","","","","","2022-08-08 08:10:21","2022-08-08 08:10:28","대기","대기","","","","","None","","","","15771079","15771080","mamex\mamex","29.97","2022-08-05 18:14:25","","예","아니오","","","","대기",
" 45","2022-08-05 12:14:44","2022-08-05","해외지국","20220805V16806","도쿄_한일의원연맹 간담회_웹하드_원본영상","","","","00:26:31;04","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-19","","금요일","0","없음","2022-08-05 11:55:09","","","","2022-08-05 11:55:09","","","대기","대기","2022-08-05 12:14:19","2022-08-05 12:14:46","2022-08-05 12:14:49","2022-08-05 12:14:49","","","","","2022-08-09 09:08:49","2022-08-09 09:09:30","대기","대기","","","","","None","","","","15769530","15769531","mamex\mamex","29.97","2022-08-05 11:55:09","","예","아니오","","","","대기",
" 46","2022-08-04 23:24:00","2022-08-04","해외지국","20220804V15804","베를린_특파원보고_김귀수_겨울이 무서운 독일 03_웹하드_원본영상","","","","00:00:21;12","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 23:23:22","","","","2022-08-04 23:23:22","","","대기","대기","2022-08-04 23:23:51","2022-08-04 23:24:03","2022-08-04 23:24:03","2022-08-04 23:24:03","","","","","","","대기","대기","","","","","None","","","","15767413","15767414","mamex\mamex","29.97","2022-08-04 23:23:22","","아니오","아니오","","","","대기",
" 47","2022-08-04 17:58:09","2022-08-04","해외지국","20220804V15198","선양_오세균_9시 뉴스_웹하드_원본영상","","","완제품","00:01:53;21","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 17:56:30","","","","2022-08-04 17:56:30","","","대기","대기","2022-08-04 17:57:54","2022-08-04 17:58:11","2022-08-04 17:58:13","2022-08-04 17:58:13","","","","","","","대기","대기","","","","","None","","","","15766114","15766115","mamex\mamex","29.97","2022-08-04 17:56:30","","아니오","아니오","","","","대기",
" 48","2022-08-04 17:47:24","2022-08-04","해외지국","20220804V15159","도쿄_21시_박원기_마쓰노 관방장관 오전 기자회견_웹하드_원본영상","박원기","","","00:02:22;09","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 17:45:47","","","","2022-08-04 17:45:47","","","대기","대기","2022-08-04 17:47:09","2022-08-04 17:47:27","2022-08-04 17:47:27","2022-08-04 17:47:27","","","","","","","대기","대기","","","","","None","","","","15766034","15766035","mamex\mamex","29.97","2022-08-04 17:45:47","","아니오","아니오","","","","대기",
" 49","2022-08-04 13:57:28","2022-08-04","해외지국","20220804V14603","베를린_특파원보고_김귀수_겨울이 무서운 독일 02_웹하드_원본영상","","","-스케치 -인터뷰 -김귀수 취재기자 온마이크","00:16:24:24","","브라우저","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 13:57:26","","","","2022-08-04 13:57:26","","","대기","대기","2022-08-04 14:08:12","2022-08-04 14:13:26","2022-08-04 14:14:23","2022-08-04 14:14:24","","","","","","","대기","대기","","","","","None","","","","15764772","15764773","mamex\mamex","29.97","2022-08-04 13:57:26","","아니오","아니오","","","","대기",
" 50","2022-08-04 13:51:43","2022-08-04","해외지국","20220804V14588","베를린_특파원보고_김귀수_겨울이 무서운 독일 01_웹하드_원본영상","","","-스케치 -인터뷰 -김귀수 취재기자 온마이크","00:38:10:08","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-18","","목요일","0","없음","2022-08-04 13:51:36","","","","2022-08-04 13:51:36","","","대기","대기","2022-08-04 14:27:49","2022-08-04 14:39:50","2022-08-04 14:41:51","2022-08-04 14:41:52","","","","","","","대기","대기","","","","","None","","","","15764737","15764738","mamex\mamex","29.97","2022-08-04 13:51:36","","아니오","아니오","","","","대기",
" 51","2022-08-03 18:54:45","2022-08-03","해외지국","20220803V13115","선양_오세균_룽촹 스케치_웹하드_원본영상","","","","00:04:31;08","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 18:51:28","","","","2022-08-03 18:51:28","","","대기","대기","2022-08-03 18:54:27","2022-08-03 18:54:48","2022-08-03 18:54:51","2022-08-03 18:54:51","","","","","2022-08-05 09:31:31","2022-08-05 09:31:41","대기","대기","","","","","None","","","","15761517","15761518","mamex\mamex","29.97","2022-08-03 18:51:28","","예","아니오","","","","대기",
" 52","2022-08-03 18:57:16","2022-08-03","해외지국","20220803V13111","선양_오세균_창사 강변아파트_웹하드_원본영상","","","","00:07:45;01","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 18:51:14","","","","2022-08-03 18:51:14","","","대기","대기","2022-08-03 18:57:00","2022-08-03 18:57:19","2022-08-03 18:57:25","2022-08-03 18:57:25","","","","","2022-08-05 09:31:32","2022-08-05 09:31:46","대기","대기","","","","","None","","","","15761515","15761516","mamex\mamex","29.97","2022-08-03 18:51:14","","예","아니오","","","","대기",
" 53","2022-08-03 18:55:08","2022-08-03","해외지국","20220803V13109","선양_오세균_뤼디 스케치_웹하드_원본영상","","","","00:05:32;19","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 18:50:51","","","","2022-08-03 18:50:51","","","대기","대기","2022-08-03 18:54:54","2022-08-03 18:55:10","2022-08-03 18:55:14","2022-08-03 18:55:14","","","","","2022-08-05 09:31:33","2022-08-05 09:31:45","대기","대기","","","","","None","","","","15761507","15761508","mamex\mamex","29.97","2022-08-03 18:50:51","","예","아니오","","","","대기",
" 54","2022-08-03 18:55:16","2022-08-03","해외지국","20220803V13107","선양_오세균_헝다 스케치_웹하드_원본영상","","","","00:06:23;02","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 18:50:28","","","","2022-08-03 18:50:28","","","대기","대기","2022-08-03 18:55:04","2022-08-03 18:55:19","2022-08-03 18:55:23","2022-08-03 18:55:23","","","","","2022-08-05 09:31:35","2022-08-05 09:31:45","대기","대기","","","","","None","","","","15761503","15761504","mamex\mamex","29.97","2022-08-03 18:50:28","","예","아니오","","","","대기",
" 55","2022-08-03 17:37:04","2022-08-03","해외지국","20220803V12905","선양_오세균_부동산 금융위기_웹하드_원본영상","","","완제품","00:05:28;18","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 17:33:11","","","","2022-08-03 17:33:11","","","대기","대기","2022-08-03 17:36:51","2022-08-03 17:37:06","2022-08-03 17:37:12","2022-08-03 17:37:12","","","","","","","대기","대기","","","","","None","","","","15761072","15761073","mamex\mamex","29.97","2022-08-03 17:33:11","","아니오","아니오","","","","대기",
" 56","2022-08-03 14:57:21","2022-08-03","해외지국","20220803V12501","도쿄_한일의원연맹 대표단 방일_웹하드_원본영상","","","","00:06:05;12","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","이현모","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 14:52:24","","","","2022-08-03 14:52:24","","","대기","대기","2022-08-03 14:57:11","2022-08-03 14:57:24","2022-08-03 14:57:24","2022-08-03 14:57:24","","","","","2022-08-10 08:18:43","2022-08-10 08:18:55","대기","대기","","","","","None","","","","15760206","15760207","mamex\mamex","29.97","2022-08-03 14:52:24","","예","아니오","","","","대기",
" 57","2022-08-03 13:58:27","2022-08-03","해외지국","20220803V12377","선양_오세균_시안 시위_웹하드_원본영상","","","","00:00:18;08","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-17","","수요일","0","없음","2022-08-03 13:57:51","","","","2022-08-03 13:57:51","","","대기","대기","2022-08-03 13:58:16","2022-08-03 13:58:29","2022-08-03 13:58:29","2022-08-03 13:58:29","","","","","2022-08-05 09:33:37","2022-08-05 09:33:41","대기","대기","","","","","None","","","","15759896","15759897","mamex\mamex","29.97","2022-08-03 13:57:51","","예","아니오","","","","대기",
" 58","2022-08-02 16:25:17","2022-08-02","해외지국","20220802V10462","선양_오세균_항다_웹하드_원본영상","","","","00:05:05;05","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 16:21:36","","","","2022-08-02 16:21:36","","","대기","대기","2022-08-02 16:25:07","2022-08-02 16:25:20","2022-08-02 16:25:24","2022-08-02 16:25:24","","","","","2022-08-03 09:19:41","2022-08-03 09:19:51","대기","대기","","","","","None","","","","15755829","15755830","mamex\mamex","29.97","2022-08-02 16:21:36","","예","아니오","","","","대기",
" 59","2022-08-02 16:23:05","2022-08-02","해외지국","20220802V10457","선양_오세균_뤼디_웹하드_원본영상","","","","00:02:40;11","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 16:21:10","","","","2022-08-02 16:21:10","","","대기","대기","2022-08-02 16:23:02","2022-08-02 16:23:07","2022-08-02 16:23:08","2022-08-02 16:23:08","","","","","2022-08-03 09:20:18","2022-08-03 09:20:24","대기","대기","","","","","None","","","","15755813","15755814","mamex\mamex","29.97","2022-08-02 16:21:10","","예","아니오","","","","대기",
" 60","2022-08-02 05:26:28","2022-08-02","해외지국","20220802V09527","뉴욕_한보경_그리니치 빌리지 7월 스케치_웹하드_원본영상","","","","00:04:31;20","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-16","","화요일","0","없음","2022-08-02 05:22:38","","","","2022-08-02 05:22:38","","","대기","대기","2022-08-02 05:26:07","2022-08-02 05:26:28","2022-08-02 05:26:31","2022-08-02 05:26:31","","","","","2022-08-02 09:31:50","2022-08-02 09:32:00","대기","대기","","","","","None","","","","15753810","15753811","mamex\mamex","29.97","2022-08-02 05:22:38","","예","아니오","","","","대기",
" 61","2022-08-01 07:26:34","2022-08-01","해외지국","20220801V07567","두바이_우수경_한식경연대회_웹하드_원본영상","","","","00:31:14;26","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-15","","월요일","0","없음","2022-08-01 07:05:24","","","","2022-08-01 07:05:24","","","대기","대기","2022-08-01 07:26:05","2022-08-01 07:26:35","2022-08-01 07:26:43","2022-08-01 07:26:43","","","","","2022-08-01 08:09:58","2022-08-01 08:10:32","대기","대기","","","","","None","","","","15749592","15749593","mamex\mamex","29.97","2022-08-01 07:05:24","","예","아니오","","","","대기",
" 62","2022-08-01 06:26:48","2022-08-01","해외지국","20220801V07527","두바이_우수경_한식경연대회 인터뷰_웹하드_원본영상","","","인터뷰 만","00:21:08;29","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-15","","월요일","0","없음","2022-08-01 06:13:00","","","","2022-08-01 06:13:00","","","대기","대기","2022-08-01 06:26:20","2022-08-01 06:26:48","2022-08-01 06:26:49","2022-08-01 06:26:49","","","","","","","대기","대기","","","","","None","","","","15749516","15749517","mamex\mamex","29.97","2022-08-01 06:13:00","","아니오","아니오","","","","대기",
" 63","2022-07-30 20:11:14","2022-07-30","해외지국","20220730V06308","선양_중국 단둥시 시내 스케치 02_웹하드_원본영상","오세균","","","00:02:25;22","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-13","","토요일","0","없음","2022-07-30 20:09:17","","","","2022-07-30 20:09:17","","","대기","대기","2022-07-30 20:11:01","2022-07-30 20:11:17","2022-07-30 20:11:18","2022-07-30 20:11:18","","","","","2022-08-01 08:10:48","2022-08-01 08:10:56","대기","대기","","","","","None","","","","15746915","15746916","mamex\mamex","29.97","2022-07-30 20:09:17","","예","아니오","","","","대기",
" 64","2022-07-30 20:09:38","2022-07-30","해외지국","20220730V06305","선양_북한 신의주시 시내 스케치 02_웹하드_원본영상","오세균","","","00:02:15;11","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-13","","토요일","0","없음","2022-07-30 20:07:55","","","","2022-07-30 20:07:55","","","대기","대기","2022-07-30 20:09:26","2022-07-30 20:09:41","2022-07-30 20:09:42","2022-07-30 20:09:42","","","","","2022-08-01 08:10:44","2022-08-01 08:10:49","대기","대기","","","","","None","","","","15746907","15746908","mamex\mamex","29.97","2022-07-30 20:07:55","","예","아니오","","","","대기",
" 65","2022-07-30 19:14:36","2022-07-30","해외지국","20220730V06240","선양_중국 단둥시 시내 스케치 01_웹하드_원본영상","오세균","","-유경식당 등","00:02:05:14","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-13","","토요일","0","없음","2022-07-30 19:14:29","","","","2022-07-30 19:14:29","","","대기","대기","2022-07-30 19:15:09","2022-07-30 19:15:52","2022-07-30 19:16:02","2022-07-30 19:16:02","","","","","2022-08-01 08:10:46","2022-08-01 08:10:54","대기","대기","","","","","None","","","","15746748","15746749","mamex\mamex","29.97","2022-07-30 19:14:29","","예","아니오","","","","대기",
" 66","2022-07-30 19:14:29","2022-07-30","해외지국","20220730V06239","선양_북한 신의주시 시내 스케치_웹하드_원본영상","오세균","","","00:14:42:14","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","성공","미작성","아니오","아니오","HD","알수없음","","","2022-08-13","","토요일","0","없음","2022-07-30 19:14:23","","","","2022-07-30 19:14:23","","","대기","대기","2022-07-30 19:17:58","2022-07-30 19:22:37","2022-07-30 19:23:25","2022-07-30 19:23:25","","","","","2022-08-01 08:11:35","2022-08-01 08:12:03","대기","대기","","","","","None","","","","15746744","15746747","mamex\mamex","29.97","2022-07-30 19:14:23","","예","아니오","","","","대기",
" 67","2022-07-28 18:00:45","2022-07-28","해외지국","20220728V02705","도쿄_19시_지종익_사도광산 유네스코 심사 제외_웹하드_원본영상","지종익","","","00:01:42;22","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-11","","목요일","0","없음","2022-07-28 17:59:21","","","","2022-07-28 17:59:21","","","대기","대기","2022-07-28 18:00:43","2022-07-28 18:00:47","2022-07-28 18:00:48","2022-07-28 18:00:48","","","","","","","대기","대기","","","","","None","","","","15739138","15739139","mamex\mamex","29.97","2022-07-28 17:59:21","","아니오","아니오","","","","대기",
" 68","2022-07-27 08:22:11","2022-07-27","해외지국","20220727V99560","워싱턴_김양순_정전69년 추모의 벽 찾은 625참전용사 유족 05_웹하드_원본영상","","채널A","-인터뷰 및 스케치","00:26:15;00","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","김인수","정리완료","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 08:03:53","","","","2022-07-27 08:03:53","","","대기","대기","2022-07-27 08:21:40","2022-07-27 08:22:12","2022-07-27 08:22:14","2022-07-27 08:22:14","","","","","","","대기","대기","","","","","None","","","","15732199","15732200","mamex\mamex","29.97","2022-07-27 08:03:53","","아니오","아니오","","","","대기",
" 69","2022-07-27 07:59:12","2022-07-27","해외지국","20220727V99524","워싱턴_김양순_정전69년 추모의 벽 찾은 625참전용사 유족 04_웹하드_원본영상","김양순","오범석","-행사 녹취","00:30:00;10","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 07:39:37","","","","2022-07-27 07:39:37","","","대기","대기","2022-07-27 07:58:43","2022-07-27 07:59:13","2022-07-27 07:59:13","2022-07-27 07:59:13","","","","","","","대기","대기","","","","","None","","","","15732129","15732130","mamex\mamex","29.97","2022-07-27 07:39:37","","아니오","아니오","","","","대기",
" 70","2022-07-27 07:36:42","2022-07-27","해외지국","20220727V99525","워싱턴_김양순_정전69년 추모의 벽 찾은 625참전용사 유족 03_웹하드_원본영상","김양순","오범석","-유가족 인터뷰","00:19:06:10","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 07:36:37","","","","2022-07-27 07:36:37","","","대기","대기","2022-07-27 07:41:56","2022-07-27 07:47:56","2022-07-27 07:49:01","2022-07-27 07:49:02","","","","","","","대기","대기","","","","","None","","","","15732123","15732124","mamex\mamex","29.97","2022-07-27 07:36:37","","아니오","아니오","","","","대기",
" 71","2022-07-27 06:33:03","2022-07-27","해외지국","20220727V99472","뉴욕_광장_한보경_온마이크_웹하드_원본영상","","","","00:00:26;25","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","클로징 만","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-10","","수요일","0","없음","2022-07-27 06:32:38","","","","2022-07-27 06:32:38","","","대기","대기","2022-07-27 06:32:52","2022-07-27 06:33:04","2022-07-27 06:33:04","2022-07-27 06:33:04","","","","","","","대기","대기","","","","","None","","","","15732007","15732008","mamex\mamex","29.97","2022-07-27 06:32:38","","아니오","아니오","","","","대기",
" 72","2022-07-26 18:29:25","2022-07-26","해외지국","20220726V98488","도쿄_19시_박원기_일본 원숭이 두창 첫 발생 녹취 및 온마이크_웹하드_원본영상","","","녹취 + 온마이크","00:01:12;19","","파일 업로더","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-09","","화요일","0","없음","2022-07-26 18:28:14","","","","2022-07-26 18:28:14","","","대기","대기","2022-07-26 18:29:14","2022-07-26 18:29:28","2022-07-26 18:29:28","2022-07-26 18:29:28","","","","","","","대기","대기","","","","","None","","","","15729953","15729954","mamex\mamex","29.97","2022-07-26 18:28:14","","아니오","아니오","","","","대기",
" 73","2022-07-24 12:42:49","2022-07-24","해외지국","20220724V94765","워싱턴_이정민_존 매더 나사 선임 과학자 화상 인터뷰 2_웹하드_원본영상","","","","00:34:44:03","","Edius Plugin","아니오","","성공","성공","성공","원본영상-국제","","","미정리","","","","대기","요청없음","대기","미작성","아니오","아니오","HD","알수없음","","","2022-08-07","","일요일","0","없음","2022-07-24 12:42:44","","","","2022-07-24 12:42:44","","","대기","대기","2022-07-24 12:53:28","2022-07-24 13:03:27","2022-07-24 13:05:13","2022-07-24 13:05:14","","","","","","","대기","대기","","","","","None","","","","15721843","15721844","mamex\mamex","29.97","2022-07-24 12:42:44","","아니오","아니오","","","","대기",
